code,city,hospName,hospID,hospAddress,latitude,longitude,hospTel
99,臺東縣,衛生福利部臺東醫院成功分院,0146020537,臺東縣成功鎮中山東路32號,23.0992496,121.3778375,089-854748
99,臺東縣,佛教慈濟醫療財團法人關山慈濟醫院,1146030516,臺東縣關山鎮和平路125-5號,23.0572568,121.1667715, 089-814880
7,高雄市,胡榿小兒科診所,3502051955,高雄市三民區九如一路820號,22.64016,120.31949,3827356
7,高雄市,儲昭仁耳鼻喉科診所,3502052345,高雄市三民區九如一路854號,22.640239,120.318738,3890470
7,高雄市,林志哲耳鼻喉科診所,3502055453,高雄市三民區大昌二路103號,22.641361,120.331981,3987593
7,高雄市,謝明容耳鼻喉科診所,3502054465,高雄市三民區大昌二路142號,22.644197,120.332324,3973999
7,高雄市,黃學武家庭醫學科診所,3502054250,高雄市三民區大昌二路23號1樓,22.639288,120.332066,3815668
7,高雄市,董金山診所,3502050378,高雄市三民區大昌二路544號,22.651828,120.33018,3833405
7,高雄市,柳雱邁診所,3507320035,高雄市三民區建興路59號,22.641954,120.327285,3895640
7,高雄市,羅韻珊小兒科診所,3502051642,高雄市三民區大豐二路110之1號,22.64583,120.328851,3870430
7,高雄市,鼎祥診所,3502052176,高雄市三民區天祥一路135之1號,22.667207,120.320051,3477086
7,高雄市,吉星小兒科診所,3502052523,高雄市三民區天祥一路135之1號,22.667207,120.320051,3477086
7,高雄市,青聯診所,3507010767,高雄市三民區文濱路31號,22.63918,120.348254,7677002
7,高雄市,范雅修小兒科診所,3502052498,高雄市三民區平等路163號,22.642189,120.320831,3876366
7,高雄市,建欣診所,3507321283,高雄市三民區建工路664號,22.648062,120.319458,3808856
7,高雄市,育明診所,3502052694,高雄市三民區民族一路537號,22.666021,120.31634,3478461
7,高雄市,快安診所,3502052309,高雄市三民區立忠路29號,22.653084,120.325683,3895420
7,高雄市,亮忠診所,3502052676,高雄市三民區明誠二路28號,22.660087,120.314897,3490760
7,高雄市,鼎真診所,3507320526,高雄市三民區金鼎路325號,22.664784,120.32017,3103130
7,高雄市,張氏診所,3502051311,高雄市三民區金鼎路368之5號,22.665254,120.318828,3419182
7,高雄市,莊永昌診所,3502051544,高雄市三民區建工路332號,22.653186,120.33067,3922289
7,高雄市,蕭瑞榮小兒科診所,3502051375,高雄市三民區建工路533號,22.648475,120.320773,3867121
7,高雄市,怡碩耳鼻喉科診所,3507321407,高雄市三民區建工路589號,22.648299,120.319962,3808169
7,高雄市,黃志維耳鼻喉科診所,3502054527,高雄市三民區建工路608號,22.649477,120.323138,3947605
7,高雄市,陳豊源耳鼻喉科診所,3502051053,高雄市三民區建工路648號,22.649121,120.321926,3870120
7,高雄市,緯立診所,3507321247,高雄市三民區建元路30號,22.647044,120.317583,3850785
7,高雄市,余建興耳鼻喉科診所,3502051839,高雄市三民區建興路183號,22.643644,120.326061,3892437
7,高雄市,國安診所,3507320955,高雄市三民區建興路193號,22.643712,120.325846,3865379
7,高雄市,徐樹本診所,3502051599,高雄市三民區建興路373號,22.646792,120.322149,3867833
7,高雄市,新高醫院,1507320015,高雄市三民區莊敬路288號,22.649991,120.318257,3828814
7,高雄市,王漢卿小兒科診所,3502052292,高雄市三民區陽明路132號,22.640578,120.341836,3877918
7,高雄市,開元診所,3502052729,高雄市三民區明誠一路296號,22.659904,120.325385,3873595
7,高雄市,錫謀診所,3502051419,高雄市三民區陽明路398號,22.645903,120.34289,3835551
7,高雄市,王俊仁耳鼻喉科診所,3502052121,高雄市三民區陽明路416號,22.646236,120.34295,3959039
7,高雄市,禾泰診所,3502055389,高雄市三民區陽明路68號,22.639506,120.341623,3903812
7,高雄市,元成診所,3502055293,高雄市三民區陽明路81號,22.639693,120.341262,3903808
